event,menu,direction,rate,elapsed_s,rssi_dbm,status
reset,0,none,0,0,,ok
prepare,11,tx,2000000,0,,HiF
start,11,tx,2000000,0,,ok
progress,11,tx,2000000,1.001,,ok
progress,11,tx,2000000,2.001,,ok
progress,11,tx,2000000,3.002,,ok
progress,11,tx,2000000,4.003,,ok
progress,11,tx,2000000,5.004,,ok
progress,11,tx,2000000,6.005,,ok
progress,11,tx,2000000,7.006,,ok
progress,11,tx,2000000,8.007,,ok
progress,11,tx,2000000,9.008,,ok
progress,11,tx,2000000,10.009,,ok
stop,11,tx,2000000,0,,ok
prepare,11,tx,4000000,0,,HiF
start,11,tx,4000000,0,,ok
progress,11,tx,4000000,1.001,,ok
progress,11,tx,4000000,2.002,,ok
progress,11,tx,4000000,3.002,,ok
progress,11,tx,4000000,4.003,,ok
progress,11,tx,4000000,5.004,,ok
progress,11,tx,4000000,6.005,,ok
progress,11,tx,4000000,7.006,,ok
progress,11,tx,4000000,8.006,,ok
progress,11,tx,4000000,9.007,,ok
progress,11,tx,4000000,10.008,,ok
stop,11,tx,4000000,0,,ok
prepare,12,rx,2000000,0,,HiF
start,12,rx,2000000,0,,ok
rssi,12,rx,2000000,1.001,-106.00,ok
rssi,12,rx,2000000,2.002,-107.00,ok
rssi,12,rx,2000000,3.003,-109.00,ok
rssi,12,rx,2000000,4.004,-108.00,ok
rssi,12,rx,2000000,5.005,-105.00,ok
rssi,12,rx,2000000,6.006,-106.00,ok
rssi,12,rx,2000000,7.007,-103.00,ok
rssi,12,rx,2000000,8.009,-106.00,ok
rssi,12,rx,2000000,9.011,-105.00,ok
rssi,12,rx,2000000,10.012,-109.00,ok
stop,12,rx,2000000,0,,ok
prepare,12,rx,4000000,0,,HiF
start,12,rx,4000000,0,,ok
rssi,12,rx,4000000,1.001,-104.00,ok
rssi,12,rx,4000000,2.002,-103.00,ok
rssi,12,rx,4000000,3.003,-103.00,ok
rssi,12,rx,4000000,4.005,-102.00,ok
rssi,12,rx,4000000,5.006,-103.00,ok
rssi,12,rx,4000000,6.008,-102.00,ok
rssi,12,rx,4000000,7.010,-102.00,ok
rssi,12,rx,4000000,8.012,-100.00,ok
rssi,12,rx,4000000,9.013,-107.00,ok
rssi,12,rx,4000000,10.014,-101.00,ok
stop,12,rx,4000000,0,,ok
prepare,14,tx,2000000,0,,HiF
start,14,tx,2000000,0,,ok
progress,14,tx,2000000,1.001,,ok
progress,14,tx,2000000,2.001,,ok
progress,14,tx,2000000,3.002,,ok
progress,14,tx,2000000,4.003,,ok
progress,14,tx,2000000,5.004,,ok
progress,14,tx,2000000,6.005,,ok
progress,14,tx,2000000,7.006,,ok
progress,14,tx,2000000,8.006,,ok
progress,14,tx,2000000,9.007,,ok
progress,14,tx,2000000,10.008,,ok
stop,14,tx,2000000,0,,ok
prepare,14,tx,4000000,0,,HiF
start,14,tx,4000000,0,,ok
progress,14,tx,4000000,1.001,,ok
progress,14,tx,4000000,2.002,,ok
progress,14,tx,4000000,3.002,,ok
progress,14,tx,4000000,4.003,,ok
progress,14,tx,4000000,5.004,,ok
progress,14,tx,4000000,6.005,,ok
progress,14,tx,4000000,7.005,,ok
progress,14,tx,4000000,8.006,,ok
progress,14,tx,4000000,9.007,,ok
progress,14,tx,4000000,10.008,,ok
stop,14,tx,4000000,0,,ok
prepare,14,rx,2000000,0,,HiF
start,14,rx,2000000,0,,ok
rssi,14,rx,2000000,1.001,-109.00,ok
rssi,14,rx,2000000,2.001,-106.00,ok
rssi,14,rx,2000000,3.002,-105.00,ok
rssi,14,rx,2000000,4.003,-106.00,ok
rssi,14,rx,2000000,5.004,-106.00,ok
rssi,14,rx,2000000,6.005,-105.00,ok
rssi,14,rx,2000000,7.007,-108.00,ok
rssi,14,rx,2000000,8.008,-104.00,ok
rssi,14,rx,2000000,9.009,-107.00,ok
rssi,14,rx,2000000,10.010,-114.00,ok
stop,14,rx,2000000,0,,ok
prepare,14,rx,4000000,0,,HiF
start,14,rx,4000000,0,,ok
rssi,14,rx,4000000,1.001,-102.00,ok
rssi,14,rx,4000000,2.002,-58.00,ok
rssi,14,rx,4000000,3.003,-59.00,ok
rssi,14,rx,4000000,4.004,-59.00,ok
rssi,14,rx,4000000,5.005,-60.00,ok
rssi,14,rx,4000000,6.006,-59.00,ok
rssi,14,rx,4000000,7.007,-59.00,ok
rssi,14,rx,4000000,8.008,-59.00,ok
rssi,14,rx,4000000,9.009,-59.00,ok
rssi,14,rx,4000000,10.010,-59.00,ok
stop,14,rx,4000000,0,,ok
complete,0,none,0,0,,awaiting-listener
