event,menu,direction,rate,elapsed_s,rssi_dbm,status
reset,0,none,0,0,,ok
prepare,11,tx,2000000,0,,HiF
start,11,tx,2000000,0,,ok
progress,11,tx,2000000,1.001,,ok
progress,11,tx,2000000,2.001,,ok
progress,11,tx,2000000,3.002,,ok
progress,11,tx,2000000,4.003,,ok
progress,11,tx,2000000,5.004,,ok
progress,11,tx,2000000,6.005,,ok
progress,11,tx,2000000,7.005,,ok
progress,11,tx,2000000,8.006,,ok
progress,11,tx,2000000,9.007,,ok
progress,11,tx,2000000,10.008,,ok
stop,11,tx,2000000,0,,ok
prepare,11,tx,4000000,0,,HiF
start,11,tx,4000000,0,,ok
progress,11,tx,4000000,1.001,,ok
progress,11,tx,4000000,2.002,,ok
progress,11,tx,4000000,3.002,,ok
progress,11,tx,4000000,4.003,,ok
progress,11,tx,4000000,5.004,,ok
progress,11,tx,4000000,6.005,,ok
progress,11,tx,4000000,7.006,,ok
progress,11,tx,4000000,8.006,,ok
progress,11,tx,4000000,9.007,,ok
progress,11,tx,4000000,10.008,,ok
stop,11,tx,4000000,0,,ok
prepare,12,rx,2000000,0,,HiF
start,12,rx,2000000,0,,ok
rssi,12,rx,2000000,1.001,-108.00,ok
rssi,12,rx,2000000,2.002,-103.00,ok
rssi,12,rx,2000000,3.002,-104.00,ok
rssi,12,rx,2000000,4.003,-107.00,ok
rssi,12,rx,2000000,5.004,-105.00,ok
rssi,12,rx,2000000,6.005,-108.00,ok
rssi,12,rx,2000000,7.006,-105.00,ok
rssi,12,rx,2000000,8.007,-107.00,ok
rssi,12,rx,2000000,9.008,-106.00,ok
rssi,12,rx,2000000,10.009,-102.00,ok
stop,12,rx,2000000,0,,ok
prepare,12,rx,4000000,0,,HiF
start,12,rx,4000000,0,,ok
rssi,12,rx,4000000,1.001,-103.00,ok
rssi,12,rx,4000000,2.002,-106.00,ok
rssi,12,rx,4000000,3.003,-102.00,ok
rssi,12,rx,4000000,4.003,-103.00,ok
rssi,12,rx,4000000,5.004,-101.00,ok
rssi,12,rx,4000000,6.005,-102.00,ok
rssi,12,rx,4000000,7.006,-101.00,ok
rssi,12,rx,4000000,8.007,-101.00,ok
rssi,12,rx,4000000,9.008,-105.00,ok
rssi,12,rx,4000000,10.010,-102.00,ok
stop,12,rx,4000000,0,,ok
prepare,14,tx,2000000,0,,HiF
start,14,tx,2000000,0,,ok
progress,14,tx,2000000,1.001,,ok
progress,14,tx,2000000,2.001,,ok
progress,14,tx,2000000,3.002,,ok
progress,14,tx,2000000,4.003,,ok
progress,14,tx,2000000,5.004,,ok
progress,14,tx,2000000,6.005,,ok
progress,14,tx,2000000,7.006,,ok
progress,14,tx,2000000,8.007,,ok
progress,14,tx,2000000,9.008,,ok
progress,14,tx,2000000,10.009,,ok
stop,14,tx,2000000,0,,ok
prepare,14,tx,4000000,0,,HiF
start,14,tx,4000000,0,,ok
progress,14,tx,4000000,1.001,,ok
progress,14,tx,4000000,2.002,,ok
progress,14,tx,4000000,3.002,,ok
progress,14,tx,4000000,4.003,,ok
progress,14,tx,4000000,5.004,,ok
progress,14,tx,4000000,6.005,,ok
progress,14,tx,4000000,7.006,,ok
progress,14,tx,4000000,8.006,,ok
progress,14,tx,4000000,9.007,,ok
progress,14,tx,4000000,10.008,,ok
stop,14,tx,4000000,0,,ok
prepare,14,rx,2000000,0,,HiF
start,14,rx,2000000,0,,ok
rssi,14,rx,2000000,1.001,-105.00,ok
rssi,14,rx,2000000,2.001,-111.00,ok
rssi,14,rx,2000000,3.002,-105.00,ok
rssi,14,rx,2000000,4.003,-107.00,ok
rssi,14,rx,2000000,5.004,-103.00,ok
rssi,14,rx,2000000,6.005,-109.00,ok
rssi,14,rx,2000000,7.006,-104.00,ok
rssi,14,rx,2000000,8.007,-108.00,ok
rssi,14,rx,2000000,9.008,-105.00,ok
rssi,14,rx,2000000,10.009,-106.00,ok
stop,14,rx,2000000,0,,ok
prepare,14,rx,4000000,0,,HiF
start,14,rx,4000000,0,,ok
rssi,14,rx,4000000,1.001,-102.00,ok
rssi,14,rx,4000000,2.002,-102.00,ok
rssi,14,rx,4000000,3.002,-105.00,ok
rssi,14,rx,4000000,4.003,-105.00,ok
rssi,14,rx,4000000,5.004,-101.00,ok
rssi,14,rx,4000000,6.005,-104.00,ok
rssi,14,rx,4000000,7.006,-109.00,ok
rssi,14,rx,4000000,8.008,-103.00,ok
rssi,14,rx,4000000,9.009,-102.00,ok
rssi,14,rx,4000000,10.010,-102.00,ok
stop,14,rx,4000000,0,,ok
complete,0,none,0,0,,awaiting-listener
